Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Harper Collins,Peter Schweizer,"In 2000, Bill and Hillary Clinton owed millions of dollars in legal debt. Since then, they’ve earned over $130 million. Where did the money come from? Most people assume that the Clintons amassed their wealth through lucrative book deals and high-six figure fees for speaking gigs. Now, Peter Schweizer shows who is really behind those enormous payments. In his New York Times bestselling books Extortion and Throw Them All Out, Schweizer detailed patterns of official corruption in Washington that led to congressional resignations and new ethics laws. In Clinton Cash, he follows the Clinton money trail, revealing the connection between their personal fortune, their “close personal friends,” the Clinton Foundation, foreign nations, and some of the highest ranks of government. This books also throws light into the India’s famous Nuclear Proliferation pact with America. Schweizer reveals the Clinton’s troubling dealings in Kazakhstan, Colombia, Haiti, and other places at the “wild west” fringe of the global economy. In this blockbuster exposé, Schweizer merely presents the troubling facts he’s uncovered. Meticulously researched and scrupulously sourced, filled with headlinemaking revelations, Clinton Cash raises serious questions of judgment, of possible indebtedness to an array of foreign interests, and ultimately, of fitness for high public office.",2015-05-27,62369288,9780062369284,Clinton Cash,"Rs. 2,500.00",Hardcover,256,-
Vikas Publishing House,"Jha, B K",,2004,8125911804,9788125911807,CNC Programming Made Easy,Rs. 725.00,Paperback,240,-
Harpercollins Uk,David Brown,The tricks that experts and top professionals use to overcome difficult people.,2010,7346778,9780007346776,Collins Business Secrets : Dealing with Difficult People ,"Rs. 1,055.00",Paperback,128,-
Harpercollins,Carolyn Boyes,The NLP secrets that experts and top professionals use.,2010,7346751,9780007346752,Collins Business Secrets : NLP ,"Rs. 1,010.00",Paperback,128,-
HARPER COLLINS,BRIDGEN RACHEL ANNIE,,2007,7794231,9780007794232,COLLINS EASY LEARNING ENGLISH AGE 8-9,Rs. 710.00,Paperback,-,-
Harpercollins Publishers,RODDY DOYLE,,2006,7794371,9780007794379,COLLINS EASY LEARNING FIRST PHONICS 3-5,Rs. 720.00,Paperback,-,-
Harper Collins,Nill,"The Times Spelling BeeCollins Spell Like a ChampionYour essential companion to The Times Spelling Bee! A comprehensive guide to spelling, this new title is an invaluable reference source for all those preparing for the Times Spelling Bee competition.This essential guide to spelling includes spelling rules, strategies for better spelling, hints and tips on better spelling and a wide range of word puzzles. It helps students to understand and learn the roots of English words, and how to use this knowledge to spell better. It also gives information on how to get involved with The Times Spelling Bee competition.Written in a light-hearted and accessible style, with word games throughout, this is a fun way to improve spelling and to prepare for a Spelling Bee competition.",2010,7364563,9780007364565,Collins Spell Like A Champion,Rs. 930.00,Paperback,320,-
"Running Press,U.S.",M. Alice LeGrow,,2007-08-02,762431318,9780762431311,Color Me Manga: Bizenghast (Paperback),"Rs. 1,500.00",Paperback,-,-
"Running Press,U.S.","Misaho Kujiradou, Courtney Love, DJ Milky",,2007-08-02,762431326,9780762431328,Color Me Manga: Princess Ai (Paperback),"Rs. 1,500.00",Paperback,-,-
Sally Milner Publishing Pty Ltd,Trish Burr,"Based on her own experience with long and short stitch shading, gained through trial and error over the years, the author provides a greater awareness of how colour affects our embroidery, and what brings it to life.",28 February 2012,1863514260,9781863514262,Colour Confidence in Embroidery (Milner Craft),"Rs. 5,445.00",Hardback,256,28.2 x 21.4 x 2.6 cm
TISARA PRAKASAKAYO,JANE RUSSELL,,-,-,-,COMMUNAL POLITICALS UNDER THE DONOUGHMORE CONSTITUTION 1931-1947,Rs. 400.00,-,358,-
Phi Learning,Dixson J Robert,"This book, the first in a series consisting of three readers for students, is designed to help them acquire a good command over written and spoken English. The focus is on the conversational and everyday vocabulary aspects of English, giving the student ample opportunity for oral practice while building up his vocabulary alongside. From the teachers viewpoint, the text is flexible and can be adapted to a variety of teaching techniques.",2009,8120305647,9788120305649,Complete Course In English,Rs. 315.00,Paperback,176,-
Law & Society Trust,Juanita Arulanantham and dinushika dissanayake . Edited by Prof. Sharya Scharenguivel,,-,-,9789551302269,Contract of Employment : Cases and Commentaries,"Rs. 1,250.00",-,525,145mm X 210mm
-,-,,-,-,-,Conversations with Myself (Hardcover),"Rs. 2,700.00",-,-,-
Author Publications,Merril Gunaratne,"""Merril Gunaratne has teased the genie of transparency out of a very opaque bottle. It is a groundbreaker, eye-opener, page-turner, and utterly riveting. His first hand account of police culture, interferences and necessary reforms makes for excellent reading. It is a must read for all police and public administration courses that tackle the subjects of leadership, security and crime prevention"".",-,-,9789555381406,Cop in the Crossfire,Rs. 650.00,-,199,145mm X 215mm
Elsevier India Private Limited,Chung,,2004,8181477154,9788181477156,Course In Probability Theory 3rd Edition,"Rs. 1,530.00",Paperback,-,-
Random House Inc,Naomi Novik,"Naomi Novik's beloved series returns, with Capt. Will Laurence and his fighting dragon Temeraire once again taking to the air against the broadsides of Napoleon's forces and the friendly--and sometimes not-so-friendly--fire of British soldiers and politicians who continue to suspect them of divided loyalties, if not outright treason. For Laurence and Temeraire, put out to pasture in Australia, it ...",15 March 2012,345522869,9780345522863,Crucible of Gold,"Rs. 3,610.00",Hardback,288,-
Cambridge International Science Publishing,"Kuzminov, Lomonova, Osika",,2010,8130912341,9788130912349,Cubic Zirconia And Skull Melting ,"Rs. 4,560.00",-,-,-
Harper Collins,Anjana Basu,"A richly textured tale of three generations of women who live under the spell of an ancestral curse, Curses in Ivory draws you into the lives of Hansabati, Regina, Brishti who wrote poetry, Queenie Mashi and her veiled life, and Sreya, whose destiny it becomes to uncover the truth. Hansabati, who lives in purdah overshadowed by the memory of her beautiful mother-in-law, thinks she has triumphed over the curse when she bears a son, only to find it alive and well, Her daughter, Regina, lives through her marriage haunted and tormented by the macabre death of her sister-in-law. And Sreya, the third generation and narrator of the story, is blighted by her father's neglect and her mother's rage until she finally discovers the true meaning of the curse when she opens an old invory casket. What had seemed a permanent could hanging over the family, a fact of life like the weather or fate itself, suddenly has cause and a history, and in knowing these there is for Sreya a kind of liberation. Curses in Ivory may centre around a curse, but it is also a story of mothers and daughters, pujas and pearls, arranged marriages and office romances- a subtle, multi-layered tale told in a writing style as remarkable as its subject, at once wry, delicate and full of passion.",2003,8172234503,9788172234508,Curses in Ivory ,"Rs. 1,650.00",Paperback,422,-
-,-,,-,-,-,Cycles Of Time An Extraordinary New View Of The Universe (Hardco,"Rs. 2,800.00",-,-,-
Harpercollins Children’s Books,Robin Jarvis,"A brilliant supernatural thriller with a modern twist, and a triumphant return from one of Britain's best-loved writers.",2011,7431708,9780007431700,Dancing Jax,"Rs. 2,350.00",Paperback,576,-
University of Chicago Press,Geoffrey M Hodgson and Thorbjørn Knudsen,,2010-11-30,226346900,978-0226346908,Darwin's Conjecture: The Search for General Principles of Social,"Rs. 5,850.00",Hardcover,304,22.9 x 15.7 x 2.3 cm
Harper Collins Children,Mary-kate Olsen,"Mom and dad won't be going to the annual Save the Seals charity dance because they don't have dates. But Chloe and Riley think they should go. It's a Carlson tradition! That's why they decide to find dates for their parents. It's a tough job, but somebody's got to do it!",2003,7144474,9780007144471,Dating Game(So Little Time),Rs. 850.00,Paperback,112,19 x 12.8 x 0.6 cm
Voyager,Kim Harrison,"From New York Times bestselling author, Kim Harrison, comes the first book in an exciting urban fantasy series: packed with the perfect balance of wry humour and thrilling action, which will delight fans of thrillers and fantasy alike.",2 Oct 2006,7236093,9780007236091,Dead Witch Walking (Rachel Morgan 1),Rs. 900.00,Paperback,432,17.6 x 11 x 3.2 cm
Perseus Books,Scott Myers,,2006-09-12,762428368,978-0762428366,Deadhead Forever: Property Of Haze (Hardcover),"Rs. 1,540.00",Hardcover,96,28.2 x 21.8 x 1.5 cm
Ulysses Press,Christopher Hodapp,,-,1569757739,-,"Deciphering the ""Lost Symbol""","Rs. 2,280.00",-,208,21.3 x 14 x 1.8 cm
-,-,,-,-,-,Decision Points [Hardcover],"Rs. 2,000.00",-,-,-
-,-,,-,-,-,Deep As The River,Rs. 800.00,-,-,-
 HarperCollins Children's Books,Shan Darren,"A hellish nightmare for only the bravest of readers! Darren Shan's horrifying new series, The Demonata, continues with Demon Thief -- now available in a spine-chilling paperback with grisly glow-in-the-dark cover!",2010,7358733,9780007358731,Demon Thief ,"Rs. 1,160.00",Paperback,288,-
-,-,,-,-,-,Designwallas Black Silk Fabric Journal,"Rs. 1,400.00",-,-,-
Dreamtech Press,Roger C. Parker,,September  2003,8177223658,9788177223651,DESKTOP PUBLISHING &DESIGN: A BEGINNER'S GUIDE,Rs. 590.00,Paperback,-,-
Tata Mc-Grawhill Publishers,Mitra S K,"""Digital Signal Processing: A Computer-Based Approach"" is intended for a two-semester course on digital signal processing for seniors or first-year graduate students. Based on user feedback, a number of new topics have been added to the second edition, while some excess topics from the first edition have been removed. The author has taken great care to organize the chapters more logically by reordering the sections within chapters. More worked-out examples have also been included. The book contains more than 500 problems and 150 MATLAB exercises.",2001,70447055,9780070447059,Digital Singnal Processing: A Computer Based Approach,"Rs. 1,040.00",Paperback,-,-
-,-,,-,-,-,Dilbert's Guide To The Rest Of Your Life: Dispatches From Cubicl,"Rs. 1,680.00",-,-,-
Cambridge University Press,Monica Cheesbrough,"This text covers topics such as clinical chemical tests, total quality management of the district laboratory service, health and safety in district laboratories and the organizing and staffing of the service.",1999,521665485,9780521665483,Dist Lab Practice In Tropical Countries P 1,"Rs. 2,080.00",Paperback,460,-
-,-,,-,-,-,Do And Die : The Chittagong Uprising 1930-34 (Paperback),"Rs. 1,080.00",-,-,-
-,-,,-,-,-,Dog Story: An Anthology - Life and Death of Our Best Friends [Ha,"Rs. 2,800.00",-,-,-
Pustak Mahal,K. B. Trehan,"Until you have mastered and tamed the waves of this ocean called life, the book Don't Forget Your Floaters that you hold in your hands can serve as a manual to the young and an eye opener for the mature. Every page, every chapter is an entry point to a new happy life that you are about to begin. And if you think, you are a great swimmer who has managed to swim to the horizon every time – share with us your secret/your floater. Read it NOW – to improve your understanding of life and more importantly, of yourself. REMEMBER, YOU ARE THE MEDIUM AND YOU ARE THE MESSAGE OF YOUR LIFE. Allow yourself happy floating, perhaps sailing through a very wonderful, exciting, passionate and meaning life. Life and tragedy had a lot to do with it. Emerging from the dark mines, resolves to show us the light at the end of the tunnel. His books, whether the sensitive semi-fiction Dancing on the notes of Life or the story of balance and resolution Illusions of Love, have been highly absorbing and a great motivation to live happily and completely.",2011,8122312691,9788122312690,Don't Forget Your Floaters ,Rs. 930.00,Paperback,208,-
